date,word
6月1日,"[""To be honest, it can't be completely blamed on Xinfadi market. After all, it's just a trading market. They don't do the quarantine of imported goods. When the epidemic situation is getting better, it's not necessarily possible to fully supervise individuals. Such a large turnover of less than 200 people is under control. Novel coronavirus pneumonia is not what they think, and has no special relationship with management. The quarantine department should also cooperate with each other. It has nothing to do with the general manager of a family. Anyway, it's all the people of their old Zhang family. However, no matter who's family, as long as the market is well run, the common people can eat the dishes with safe and reliable prices, and the market stall operators can earn money, so why change the general manager This outbreak has nothing to do with the general manager All in one pot. It's time to transform and upgrade the wholesale market and change the bad image. All surnames are Zhang, brother. Is this market a private enterprise? It's all a family. I've seen president Zhang's family. We should learn from their low-key words and spirit, and take precautions to avoid repeating the same mistakes. If we can't change, there will be too much pressure. Who can live in this place is the source of pressure? Don't mention Hebei. There's something about Yanjiao. It's just urgent to check the queues / @ long distance running by one person: Hebei can lay out a large logistics center""]"
6月1日,"[""When did case 16 return to the East and West for shopping and dinner? Because of such unconscious people, the epidemic can't be ended for a long time. Why didn't case 16 be isolated? After the 19th, there were still running around, so there will be more and more good 15 and 16. Have you ever been to or contacted a new place without declaring yourself or isolating Changyang town? How to enter the community? What's the situation of case 16 in Changping? Nothing to do with the new site? Case 16 novel coronavirus infection control and press conference in Beijing, I have really kneeled to you. News conference of Beijing, China, June 26th, the new CDC of the city of Chi, China, announced the new confirmed case in June 26th. The 134th year old uncle was still responsible for the disease. #The Beijing CDC reported the newly confirmed cases on June 26. The specific notice is as follows ↓ Will case 16 not be held responsible? Forward Weibo and forward Weibo [Beijing CDC report on newly confirmed cases on June 26], [Beijing CDC report on newly confirmed cases on June 26], [grassroots epidemic prevention in action ා\U000564ff\U000564ffාා\U000564ff\U000564ff\U000564ffා#ා############################## Yangxiao district is under closed management. How do outsiders get in? Changping is still investigating how many places to visit. Case 16 has a history of contact. Why don't you isolate the black sheep at home? Do you harm yourself? Case 16 goes to which neighborhood and which supermarket""]"
6月1日,"[""The probability of pollution is too low, so all research may be polluted. Isn't all research untrustworthy? [believe in science, don't believe in scoundrels] interesting. Wait, I believe that one day the truth will come out. Don't rush to conclusions, etc. peer review of gene sequencing and traceability can help you figure out if it's contaminated. Hopefully, more scientists can be inspired to do similar research and forward microblogs""]"
6月1日,"[""It's getting weird""]"
6月1日,"[""In case 16, many of his colleagues and family members had a new contact history, and he was not required to be isolated at home? Why are you still running around? Is Daxing's management so lax? I really hate case 16! His behavior is worthy of the busy medical workers in the front line of anti epidemic! This case 16 really took, many colleagues and family have new contact history, this is not isolated at home? Didn't find out that he lied to the police? Or is it not strictly managed during community isolation? Can it still run around? I hope it's not the public transportation... Shivering ~ case 16, which district of Changyang ~ the confirmed case of Changping is the first case without any direct or indirect contact history of new places so far! Beijing stands up and believes in the country. Li Lanjuan, Zhang Wenhong, Zhong Nanshan and Lu Yong are academicians and heroes. How does Changping get infected? Infected by relatives or in people's hospital? Case 16 is a new place of origin. Why is the contact person not isolated and running around? Is community management lax?""]"
6月1日,"[""Still want to notice that some people just can't stop talking, can't stop legs, I now hear the word get headache!""]"
6月1日,['Correct hand washing posture']
6月1日,"[""Black Shandong is not over, No. 15 to apply for refund, No. 19 announced the epidemic, why to refund your handling fee! Are you a prophet?! I don't think that's right. I went home in the Spring Festival because the epidemic car stopped at Jinan airport and charged me 5900 parking fees. The confiscated handling fees of Shandong Shanhang airlines that I returned almost immediately returned (I didn't see the ones that were submitted as soon as they were finished) it was the Xiang Peng airlines that I bought before that didn't return for a week. It's said that it's still under review. Now I go to the second manual review of the cigarettes I bought For the return ticket from Taiwan to Beijing, half of the money was deducted due to the refund of the epidemic, and the reply from Shandong Shanhang, a hospitable Oriental airline, was that the ticket could not be refunded in full because of the epidemic, and half of the money was deducted as a matter of fact It's not even dark in the region. My hometown Shandong is no longer my pride. It's the same everywhere. One yard at a time. I'm from Shandong. I don't know what to say. I think Shanhang is very good. At least when I sit, I serve a group of people who have a better service attitude than the first one It's also the last outbreak of the epidemic. It's true that Shanhang paid a lot of handling fees according to the contract and policy. But during the epidemic prevention and control period, it can be handled as appropriate. We believe that the enterprises focusing on credit will solve it properly.""]"
6月1日,"[""Wear a mask! Wear a mask! Wear a mask! It's very low. Come on, Beijing!!!!! Do a good job in prevention and control""]"
6月1日,['Good afternoon to visit']
