date,confirm,suspect,dead,heal
01.20,77,27,0,0
01.21,149,53,3,0
01.22,131,257,8,0
01.23,259,680,8,6
01.24,444,1118,16,3
01.25,688,1309,15,11
01.26,769,3806,24,2
01.27,1771,2077,26,9
01.28,1459,3248,26,43
01.29,1737,4148,38,21
01.30,1982,4812,43,47
01.31,2102,5019,46,72
02.01,2590,4562,45,85
02.02,2829,5173,57,147
02.03,3235,5072,64,157
02.04,3893,3971,65,262
02.05,3697,5328,73,261
02.06,3143,4833,73,387
02.07,3401,4214,86,510
02.08,2656,3916,89,600
02.09,3062,4008,97,632
02.10,2484,3536,108,716
02.11,2022,3342,97,744
02.12,15153,2807,254,1173
02.13,5093,2450,121,1083
02.14,2644,2277,143,1373
02.15,2009,1918,142,1324
02.16,2051,1563,105,1425
02.17,1891,1432,98,1701
02.18,1751,1185,136,1826
02.19,820,1277,115,1781
02.20,892,1614,118,2109
02.21,399,1361,109,2394
02.22,649,882,97,2235
02.23,416,620,150,1850
02.24,517,530,71,2596
02.25,411,439,52,2422
02.26,440,508,29,2756
02.27,329,452,44,3626
02.28,430,248,47,2892
02.29,579,132,35,2626
03.01,206,141,42,2843
03.02,128,129,31,2742
03.03,120,143,38,2654
03.04,143,143,31,2195
03.05,145,102,30,1684
03.06,103,99,28,1684
03.07,46,84,27,1666
03.08,45,60,23,1541
03.09,20,36,17,1298
03.10,31,31,22,1585
03.11,25,33,11,1320
03.12,11,33,7,1329
03.13,18,17,14,1433
03.14,27,39,10,1373
03.15,29,41,14,841
03.16,39,45,13,936
03.17,35,21,11,926
03.18,84,23,8,822
03.19,65,31,3,737
03.20,116,36,8,592
03.21,82,45,6,506
03.22,102,47,9,459
03.23,147,35,7,458
03.24,99,33,4,492
03.25,114,58,6,405
03.26,118,49,5,541
03.27,135,29,3,385
03.28,128,28,5,478
03.29,106,17,5,337
03.30,98,44,3,288
03.31,86,26,7,190
04.01,93,20,6,195
04.02,78,12,4,175
04.03,73,11,4,199
04.04,55,11,3,226
04.05,75,10,1,138
04.06,66,12,0,102
04.07,86,12,2,136
04.08,92,17,2,125
04.09,56,3,1,127
04.10,64,8,4,97
04.11,113,49,0,85
04.12,115,6,2,125
04.13,99,3,0,117
04.14,49,11,1,127
04.15,52,4,0,115
04.16,27,3,0,96
04.17,31,5,0,109
04.18,21,2,0,81
04.19,36,2,0,70
04.20,13,3,0,131
04.21,37,3,0,156
04.22,15,0,0,105
04.23,9,2,0,89
04.24,13,3,0,126
04.25,14,0,0,88
04.26,3,5,0,108
04.27,6,1,0,106
04.28,22,2,0,65
04.29,4,3,0,56
04.30,12,3,0,60
05.01,3,2,0,60
05.02,5,0,0,34
05.03,7,1,0,77
05.04,4,0,0,110
05.05,2,3,0,78
05.06,3,2,0,64
05.07,6,3,0,56
05.08,1,2,0,77
05.09,14,1,0,87
05.10,20,0,0,45
05.11,1,1,0,33
05.12,7,1,0,28
05.13,6,0,0,27
05.14,5,1,0,23
05.15,9,2,0,24
05.16,5,2,0,14
05.17,10,1,0,19
05.18,6,1,0,7
05.19,5,3,0,7
05.20,2,1,0,7
05.21,13,1,0,14
05.22,2,2,0,4
05.23,3,3,0,6
05.24,11,0,0,11
05.25,7,0,0,10
05.26,1,1,0,7
05.27,3,0,0,12
05.28,0,0,0,5
05.29,18,1,0,11
05.30,5,0,0,4
05.31,18,0,0,6
06.01,9,0,0,12
06.02,7,1,0,2
06.03,1,0,0,7
06.04,11,0,0,11
06.05,6,1,0,6
06.06,9,2,0,6
06.07,5,1,0,11
06.08,4,0,0,10
06.09,3,0,0,8
06.10,11,0,0,5
