迁入省份,迁入城市,0201,0202,0203,0204,0205,0206,0207,0208,0209,0210,0211,0212,0213,0214,0215,0216,0217,0218,0219,0220,0221,0222,0223,0224,0225,0226,0227,0228,0229
重庆市,重庆市,15.79,15.28,15.32,15.27,14.21,16.35,14.83,14.15,13.86,12.08,14.92,13.72,13.81,13.65,14.89,14.47,13.29,14.59,14.83,14.4,18.15,15.34,14.06,15.4,16.17,16.12,15.36,16.65,15.57
河南省,南阳市,10.21,9.79,9.57,11.4,11.11,9.17,10.11,9.93,10.18,9.12,11.38,10.66,10.1,10.52,11.14,11.2,11.85,11.0,10.68,10.64,9.14,8.85,10.23,10.18,11.19,10.55,10.79,10.29,10.02
湖南省,岳阳市,7.76,7.39,7.49,7.94,7.61,7.89,7.74,8.18,7.68,7.47,8.53,7.45,7.89,7.92,7.56,8.4,9.15,8.32,8.06,8.0,6.91,6.65,7.99,8.48,8.02,7.86,8.37,8.3,7.71
湖南省,常德市,7.09,6.4,6.02,6.56,6.72,6.74,7.17,6.93,7.21,5.85,7.18,7.22,5.93,6.45,7.11,7.06,6.81,6.88,6.6,5.95,5.4,5.58,6.1,6.31,6.19,5.59,6.54,6.09,6.34
湖南省,湘西土家族苗族自治州,4.79,4.7,4.94,5.85,5.06,5.93,4.92,4.59,4.87,4.45,5.13,4.32,4.53,4.91,5.82,4.84,5.2,4.97,4.89,4.65,3.87,4.03,4.19,4.22,4.31,4.47,4.62,4.53,4.4
江西省,九江市,3.21,3.12,3.16,3.42,3.35,4.81,3.13,3.88,3.07,2.83,3.37,3.15,3.01,3.12,3.3,3.16,3.48,3.25,3.52,3.39,3.02,2.9,3.4,3.56,3.31,3.35,3.31,3.47,3.37
陕西省,安康市,3.2,2.95,2.93,3.12,3.08,3.53,2.75,2.76,2.76,2.62,3.26,3.02,2.97,3.04,2.94,2.93,3.18,3.09,2.76,2.7,2.86,2.85,2.99,2.78,2.88,2.6,2.5,2.73,3.31
河南省,信阳市,2.83,2.35,2.32,2.65,2.27,2.8,2.46,2.48,2.27,2.2,2.47,2.22,2.39,2.43,2.91,2.37,2.83,2.47,2.57,2.13,2.56,2.3,2.59,2.63,2.63,2.5,2.37,2.66,2.7
湖南省,长沙市,2.3,2.04,2.27,2.37,2.15,2.03,2.44,1.96,2.08,2.11,2.34,2.17,1.89,2.3,2.46,1.96,2.16,2.44,1.79,1.99,2.09,1.73,2.06,2.09,1.76,2.3,2.17,1.84,1.9
安徽省,安庆市,1.66,1.88,1.68,1.44,1.72,1.99,2.21,1.95,1.94,1.86,1.51,1.45,1.58,1.59,1.67,1.24,1.3,2.17,1.6,1.49,1.79,1.57,1.85,1.38,1.38,1.44,1.45,1.58,1.86
广东省,深圳市,1.57,1.39,1.58,1.3,1.46,1.59,2.01,1.87,1.66,1.56,1.41,1.37,1.45,1.54,1.45,1.16,1.27,1.21,1.6,1.22,1.22,1.3,1.31,1.04,1.25,1.18,1.16,1.15,1.11
广东省,广州市,1.49,1.25,1.57,1.29,1.42,1.55,1.36,1.65,1.25,1.21,1.37,1.28,1.42,1.46,1.4,1.05,1.21,1.19,1.16,1.2,1.19,1.0,1.21,1.03,1.03,1.15,0.9,1.06,0.99
上海市,上海市,1.26,1.22,1.33,1.22,1.29,1.38,1.34,1.46,1.25,1.2,0.99,1.14,1.29,1.42,1.35,1.01,1.19,1.13,1.1,0.97,1.16,0.99,0.89,1.02,0.99,1.07,0.88,0.99,0.89
河南省,郑州市,1.19,1.14,1.2,1.1,1.25,1.32,1.28,1.4,1.02,1.18,0.98,0.91,1.27,1.17,1.28,1.01,1.16,1.08,1.0,0.93,1.05,0.96,0.82,0.86,0.84,0.92,0.82,0.94,0.87
四川省,达州市,1.02,1.12,1.1,1.0,1.23,1.05,1.11,1.15,1.02,1.05,0.93,0.9,1.22,1.17,1.27,1.01,1.04,0.94,0.99,0.86,1.0,0.91,0.78,0.83,0.83,0.86,0.8,0.93,0.82
河南省,驻马店市,0.84,0.98,1.07,0.99,1.21,0.95,1.03,1.1,0.89,1.01,0.92,0.81,0.97,1.16,1.2,0.91,1.03,0.83,0.84,0.85,0.92,0.88,0.77,0.8,0.81,0.78,0.79,0.93,0.82
河南省,周口市,0.82,0.9,0.94,0.95,1.09,0.86,1.0,1.07,0.89,0.98,0.87,0.8,0.95,1.09,0.8,0.84,0.97,0.8,0.8,0.78,0.91,0.81,0.77,0.79,0.8,0.74,0.78,0.73,0.8
河南省,洛阳市,0.81,0.78,0.92,0.89,0.94,0.85,0.95,1.04,0.85,0.94,0.84,0.8,0.92,1.05,0.8,0.82,0.95,0.71,0.78,0.71,0.8,0.81,0.77,0.79,0.75,0.74,0.76,0.67,0.74
安徽省,六安市,0.74,0.75,0.87,0.84,0.92,0.83,0.84,0.9,0.81,0.94,0.7,0.79,0.91,1.01,0.75,0.78,0.84,0.67,0.76,0.7,0.8,0.81,0.74,0.77,0.75,0.73,0.72,0.65,0.73
安徽省,阜阳市,0.69,0.72,0.79,0.82,0.82,0.79,0.82,0.76,0.81,0.83,0.7,0.75,0.87,1.0,0.72,0.73,0.83,0.67,0.73,0.69,0.75,0.7,0.74,0.76,0.68,0.72,0.71,0.61,0.68
四川省,成都市,0.66,0.7,0.76,0.78,0.78,0.71,0.79,0.74,0.8,0.82,0.64,0.74,0.83,0.96,0.66,0.71,0.82,0.62,0.73,0.69,0.74,0.7,0.74,0.73,0.67,0.71,0.69,0.59,0.67
北京市,北京市,0.63,0.68,0.76,0.74,0.65,0.66,0.73,0.73,0.79,0.77,0.61,0.72,0.78,0.88,0.64,0.71,0.72,0.57,0.67,0.68,0.66,0.69,0.64,0.67,0.61,0.71,0.69,0.59,0.67
江西省,南昌市,0.62,0.66,0.69,0.73,0.63,0.63,0.64,0.72,0.76,0.72,0.61,0.71,0.77,0.86,0.62,0.63,0.7,0.52,0.61,0.65,0.6,0.68,0.63,0.63,0.61,0.68,0.67,0.58,0.63
江西省,宜春市,0.59,0.65,0.64,0.72,0.63,0.62,0.64,0.67,0.73,0.72,0.6,0.71,0.73,0.76,0.59,0.62,0.68,0.52,0.58,0.65,0.6,0.66,0.61,0.62,0.6,0.62,0.65,0.56,0.61
陕西省,商洛市,0.58,0.65,0.56,0.72,0.62,0.6,0.63,0.62,0.65,0.69,0.58,0.67,0.71,0.69,0.59,0.62,0.63,0.51,0.55,0.62,0.59,0.65,0.6,0.62,0.6,0.57,0.6,0.51,0.6
贵州省,毕节市,0.58,0.56,0.52,0.55,0.6,0.56,0.62,0.61,0.64,0.65,0.53,0.64,0.67,0.67,0.58,0.61,0.6,0.49,0.55,0.62,0.59,0.62,0.54,0.58,0.58,0.56,0.57,0.51,0.58
安徽省,合肥市,0.55,0.55,0.51,0.55,0.59,0.52,0.54,0.56,0.62,0.65,0.52,0.62,0.64,0.67,0.43,0.61,0.57,0.49,0.49,0.6,0.57,0.59,0.51,0.57,0.58,0.54,0.56,0.51,0.55
贵州省,遵义市,0.54,0.55,0.49,0.53,0.56,0.51,0.52,0.56,0.62,0.65,0.49,0.59,0.62,0.6,0.42,0.59,0.53,0.48,0.49,0.55,0.53,0.58,0.5,0.54,0.54,0.5,0.56,0.5,0.53
河南省,商丘市,0.5,0.54,0.49,0.49,0.56,0.48,0.5,0.52,0.6,0.62,0.48,0.58,0.6,0.58,0.39,0.58,0.53,0.46,0.49,0.53,0.52,0.57,0.5,0.51,0.53,0.49,0.55,0.49,0.53
河南省,平顶山市,0.48,0.48,0.46,0.48,0.51,0.47,0.49,0.51,0.5,0.6,0.47,0.58,0.57,0.58,0.39,0.54,0.49,0.45,0.48,0.53,0.51,0.57,0.49,0.47,0.5,0.47,0.55,0.49,0.53
湖南省,张家界市,0.47,0.43,0.46,0.48,0.51,0.46,0.48,0.51,0.5,0.53,0.47,0.56,0.57,0.58,0.38,0.5,0.48,0.43,0.48,0.52,0.5,0.55,0.48,0.45,0.49,0.45,0.48,0.48,0.51
广西壮族自治区,桂林市,0.45,0.42,0.44,0.47,0.46,0.46,0.46,0.5,0.5,0.52,0.45,0.48,0.54,0.54,0.37,0.48,0.45,0.41,0.46,0.5,0.5,0.52,0.48,0.45,0.48,0.45,0.45,0.47,0.5
广东省,东莞市,0.43,0.42,0.44,0.45,0.45,0.42,0.46,0.49,0.48,0.51,0.42,0.48,0.51,0.53,0.36,0.46,0.43,0.4,0.43,0.47,0.49,0.52,0.47,0.44,0.47,0.44,0.44,0.45,0.5
四川省,南充市,0.41,0.41,0.44,0.41,0.44,0.4,0.45,0.45,0.47,0.48,0.41,0.47,0.44,0.52,0.35,0.43,0.43,0.4,0.42,0.47,0.47,0.52,0.47,0.44,0.44,0.41,0.42,0.43,0.45
陕西省,西安市,0.4,0.41,0.38,0.4,0.43,0.36,0.43,0.42,0.45,0.48,0.39,0.45,0.42,0.43,0.35,0.41,0.36,0.39,0.41,0.47,0.47,0.51,0.46,0.38,0.44,0.41,0.42,0.42,0.45
陕西省,汉中市,0.4,0.4,0.38,0.36,0.38,0.36,0.41,0.42,0.42,0.45,0.38,0.44,0.42,0.4,0.35,0.4,0.35,0.38,0.4,0.46,0.44,0.49,0.45,0.37,0.43,0.41,0.39,0.41,0.38
贵州省,铜仁市,0.4,0.4,0.38,0.35,0.33,0.34,0.37,0.42,0.41,0.45,0.37,0.42,0.42,0.36,0.34,0.4,0.35,0.36,0.37,0.45,0.44,0.47,0.42,0.37,0.43,0.4,0.37,0.4,0.38
河南省,新乡市,0.38,0.39,0.36,0.35,0.32,0.32,0.37,0.39,0.4,0.43,0.36,0.42,0.41,0.35,0.33,0.38,0.34,0.35,0.37,0.45,0.43,0.47,0.39,0.37,0.41,0.39,0.37,0.37,0.37
四川省,巴中市,0.38,0.38,0.36,0.34,0.32,0.29,0.36,0.39,0.39,0.41,0.35,0.4,0.41,0.35,0.33,0.37,0.32,0.34,0.36,0.44,0.42,0.45,0.39,0.36,0.37,0.39,0.36,0.37,0.36
湖南省,益阳市,0.36,0.36,0.36,0.32,0.31,0.29,0.34,0.37,0.37,0.4,0.34,0.38,0.4,0.35,0.31,0.37,0.3,0.34,0.36,0.44,0.42,0.43,0.36,0.36,0.36,0.37,0.36,0.37,0.35
